random	SNP_n	Gene_n
gtex_rsid352.bed	6	11
gtex_rsid353.bed	7	10
gtex_rsid354.bed	6	8
gtex_rsid355.bed	2	5
gtex_rsid356.bed	5	6
gtex_rsid357.bed	2	2
gtex_rsid358.bed	4	6
gtex_rsid359.bed	6	11
gtex_rsid360.bed	10	25
gtex_rsid361.bed	7	9
gtex_rsid362.bed	5	13
gtex_rsid363.bed	5	7
gtex_rsid364.bed	7	10
gtex_rsid365.bed	2	3
gtex_rsid366.bed	7	17
gtex_rsid367.bed	5	8
gtex_rsid368.bed	4	14
gtex_rsid369.bed	9	17
gtex_rsid370.bed	4	7
gtex_rsid371.bed	7	12
gtex_rsid372.bed	5	8
gtex_rsid373.bed	6	10
gtex_rsid374.bed	3	3
gtex_rsid375.bed	4	11
gtex_rsid376.bed	6	11
gtex_rsid377.bed	3	8
gtex_rsid378.bed	4	4
gtex_rsid379.bed	3	6
gtex_rsid380.bed	8	15
gtex_rsid381.bed	3	7
gtex_rsid382.bed	6	20
gtex_rsid383.bed	6	12
gtex_rsid384.bed	4	13
gtex_rsid385.bed	5	10
gtex_rsid386.bed	3	6
gtex_rsid387.bed	6	9
gtex_rsid388.bed	3	7
gtex_rsid389.bed	3	3
gtex_rsid390.bed	3	8
gtex_rsid391.bed	1	2
gtex_rsid392.bed	1	5
gtex_rsid393.bed	7	8
gtex_rsid394.bed	6	8
gtex_rsid395.bed	2	6
gtex_rsid396.bed	1	1
gtex_rsid397.bed	5	14
gtex_rsid398.bed	2	6
gtex_rsid399.bed	7	8
gtex_rsid400.bed	2	2
gtex_rsid401.bed	6	8
gtex_rsid402.bed	4	4
gtex_rsid403.bed	7	13
gtex_rsid404.bed	3	5
gtex_rsid405.bed	1	2
gtex_rsid406.bed	5	17
gtex_rsid407.bed	6	14
gtex_rsid408.bed	1	1
gtex_rsid409.bed	2	2
gtex_rsid410.bed	2	5
gtex_rsid411.bed	5	22
gtex_rsid412.bed	5	5
gtex_rsid413.bed	7	15
gtex_rsid414.bed	4	17
gtex_rsid415.bed	4	4
gtex_rsid416.bed	2	2
gtex_rsid417.bed	3	7
gtex_rsid418.bed	5	7
gtex_rsid419.bed	3	5
gtex_rsid420.bed	3	4
gtex_rsid421.bed	4	5
gtex_rsid422.bed	4	9
gtex_rsid423.bed	1	1
gtex_rsid424.bed	5	6
gtex_rsid425.bed	6	9
gtex_rsid426.bed	8	18
gtex_rsid427.bed	6	18
gtex_rsid428.bed	6	13
gtex_rsid429.bed	5	22
gtex_rsid430.bed	5	19
gtex_rsid431.bed	4	5
gtex_rsid432.bed	4	9
gtex_rsid433.bed	6	17
gtex_rsid434.bed	4	6
gtex_rsid435.bed	5	7
gtex_rsid436.bed	6	7
gtex_rsid437.bed	4	7
gtex_rsid438.bed	4	4
gtex_rsid439.bed	3	4
gtex_rsid440.bed	3	9
gtex_rsid441.bed	5	9
gtex_rsid442.bed	4	8
gtex_rsid443.bed	4	4
gtex_rsid444.bed	2	2
gtex_rsid445.bed	2	6
gtex_rsid446.bed	7	17
gtex_rsid447.bed	4	4
gtex_rsid448.bed	7	13
gtex_rsid449.bed	3	3
gtex_rsid450.bed	9	22
gtex_rsid451.bed	6	9
gtex_rsid452.bed	2	2
gtex_rsid453.bed	4	4
gtex_rsid454.bed	8	19
gtex_rsid455.bed	3	7
gtex_rsid456.bed	6	14
gtex_rsid457.bed	3	3
gtex_rsid458.bed	7	12
gtex_rsid459.bed	7	9
gtex_rsid460.bed	2	5
gtex_rsid461.bed	3	6
gtex_rsid462.bed	4	8
gtex_rsid463.bed	0	0
gtex_rsid464.bed	4	17
gtex_rsid465.bed	3	4
gtex_rsid466.bed	4	5
gtex_rsid467.bed	6	24
gtex_rsid468.bed	5	9
gtex_rsid469.bed	3	9
gtex_rsid470.bed	7	27
gtex_rsid471.bed	4	9
gtex_rsid472.bed	2	3
gtex_rsid473.bed	4	5
gtex_rsid474.bed	5	10
gtex_rsid475.bed	5	5
gtex_rsid476.bed	7	10
gtex_rsid477.bed	4	5
gtex_rsid478.bed	4	8
gtex_rsid479.bed	5	8
gtex_rsid480.bed	4	4
gtex_rsid481.bed	4	5
gtex_rsid482.bed	5	10
gtex_rsid483.bed	6	8
gtex_rsid484.bed	5	33
gtex_rsid485.bed	4	6
gtex_rsid486.bed	5	9
gtex_rsid487.bed	2	2
gtex_rsid488.bed	8	11
gtex_rsid489.bed	5	6
gtex_rsid490.bed	4	9
gtex_rsid491.bed	5	10
gtex_rsid492.bed	4	12
gtex_rsid493.bed	4	8
gtex_rsid494.bed	7	10
gtex_rsid495.bed	6	20
gtex_rsid496.bed	3	4
gtex_rsid497.bed	5	11
gtex_rsid498.bed	2	2
gtex_rsid499.bed	6	14
gtex_rsid500.bed	7	11
gtex_rsid501.bed	5	10
gtex_rsid502.bed	4	9
gtex_rsid503.bed	4	5
gtex_rsid504.bed	4	10
gtex_rsid505.bed	3	3
gtex_rsid506.bed	3	5
gtex_rsid507.bed	10	15
gtex_rsid508.bed	4	6
gtex_rsid509.bed	4	14
gtex_rsid510.bed	3	4
gtex_rsid511.bed	6	11
gtex_rsid512.bed	7	30
gtex_rsid513.bed	8	9
gtex_rsid514.bed	5	7
gtex_rsid515.bed	4	7
gtex_rsid516.bed	6	12
gtex_rsid517.bed	2	3
gtex_rsid518.bed	4	7
gtex_rsid519.bed	4	5
gtex_rsid520.bed	5	8
gtex_rsid521.bed	6	10
gtex_rsid522.bed	5	8
gtex_rsid523.bed	4	6
gtex_rsid524.bed	5	7
gtex_rsid525.bed	4	14
gtex_rsid526.bed	6	11
gtex_rsid527.bed	8	16
gtex_rsid528.bed	1	5
gtex_rsid529.bed	10	16
gtex_rsid530.bed	6	10
gtex_rsid531.bed	2	11
gtex_rsid532.bed	7	10
gtex_rsid533.bed	5	5
gtex_rsid534.bed	3	5
gtex_rsid535.bed	7	11
gtex_rsid536.bed	8	10
gtex_rsid537.bed	7	12
gtex_rsid538.bed	6	12
gtex_rsid539.bed	7	11
gtex_rsid540.bed	6	12
gtex_rsid541.bed	7	11
gtex_rsid542.bed	5	11
gtex_rsid543.bed	3	9
gtex_rsid544.bed	3	4
gtex_rsid545.bed	3	4
gtex_rsid546.bed	6	18
gtex_rsid547.bed	3	4
gtex_rsid548.bed	10	15
gtex_rsid549.bed	2	2
gtex_rsid550.bed	7	12
gtex_rsid551.bed	2	3
gtex_rsid552.bed	6	9
gtex_rsid553.bed	8	24
gtex_rsid554.bed	1	3
gtex_rsid555.bed	7	10
gtex_rsid556.bed	3	5
gtex_rsid557.bed	4	8
gtex_rsid558.bed	6	13
gtex_rsid559.bed	3	3
gtex_rsid560.bed	2	3
gtex_rsid561.bed	8	13
gtex_rsid562.bed	2	6
gtex_rsid563.bed	7	23
gtex_rsid564.bed	6	10
gtex_rsid565.bed	3	3
gtex_rsid566.bed	7	14
gtex_rsid567.bed	6	16
gtex_rsid568.bed	8	18
gtex_rsid569.bed	9	16
gtex_rsid570.bed	3	13
gtex_rsid571.bed	7	10
gtex_rsid572.bed	5	6
gtex_rsid573.bed	4	5
gtex_rsid574.bed	10	15
gtex_rsid575.bed	3	3
gtex_rsid576.bed	1	1
gtex_rsid577.bed	5	7
gtex_rsid578.bed	5	16
gtex_rsid579.bed	3	6
gtex_rsid580.bed	4	8
gtex_rsid581.bed	3	8
gtex_rsid582.bed	8	28
gtex_rsid583.bed	5	9
