random	SNP_n	Gene_n
gtex_rsid4732.bed	2	3
gtex_rsid4733.bed	4	7
gtex_rsid4734.bed	7	14
gtex_rsid4735.bed	5	9
gtex_rsid4736.bed	8	17
gtex_rsid4737.bed	4	10
gtex_rsid4738.bed	7	9
gtex_rsid4739.bed	5	8
gtex_rsid4740.bed	3	8
gtex_rsid4741.bed	8	9
gtex_rsid4742.bed	4	4
gtex_rsid4743.bed	8	11
gtex_rsid4744.bed	4	9
gtex_rsid4745.bed	7	21
gtex_rsid4746.bed	4	9
gtex_rsid4747.bed	4	9
gtex_rsid4748.bed	9	19
gtex_rsid4749.bed	4	4
gtex_rsid4750.bed	4	19
gtex_rsid4751.bed	2	2
gtex_rsid4752.bed	5	9
gtex_rsid4753.bed	2	2
gtex_rsid4754.bed	2	11
gtex_rsid4755.bed	6	9
gtex_rsid4756.bed	7	9
gtex_rsid4757.bed	5	8
gtex_rsid4758.bed	7	7
gtex_rsid4759.bed	5	14
gtex_rsid4760.bed	6	20
gtex_rsid4761.bed	3	5
gtex_rsid4762.bed	6	9
gtex_rsid4763.bed	6	8
gtex_rsid4764.bed	5	17
gtex_rsid4765.bed	7	12
gtex_rsid4766.bed	7	11
gtex_rsid4767.bed	2	3
gtex_rsid4768.bed	4	6
gtex_rsid4769.bed	1	1
gtex_rsid4770.bed	3	5
gtex_rsid4771.bed	3	5
gtex_rsid4772.bed	4	6
gtex_rsid4773.bed	6	10
gtex_rsid4774.bed	6	6
gtex_rsid4775.bed	5	10
gtex_rsid4776.bed	6	18
gtex_rsid4777.bed	6	9
gtex_rsid4778.bed	4	9
gtex_rsid4779.bed	3	3
gtex_rsid4780.bed	2	2
gtex_rsid4781.bed	3	3
gtex_rsid4782.bed	2	4
gtex_rsid4783.bed	6	21
gtex_rsid4784.bed	3	5
gtex_rsid4785.bed	8	15
gtex_rsid4786.bed	6	11
gtex_rsid4787.bed	3	9
gtex_rsid4788.bed	6	16
gtex_rsid4789.bed	8	13
gtex_rsid4790.bed	5	8
gtex_rsid4791.bed	5	10
gtex_rsid4792.bed	5	8
gtex_rsid4793.bed	3	4
gtex_rsid4794.bed	7	19
gtex_rsid4795.bed	5	9
gtex_rsid4796.bed	8	16
gtex_rsid4797.bed	4	5
gtex_rsid4798.bed	4	6
gtex_rsid4799.bed	7	13
gtex_rsid4800.bed	4	19
gtex_rsid4801.bed	4	19
gtex_rsid4802.bed	2	8
gtex_rsid4803.bed	3	6
gtex_rsid4804.bed	1	4
gtex_rsid4805.bed	7	20
gtex_rsid4806.bed	6	12
gtex_rsid4807.bed	8	12
gtex_rsid4808.bed	5	32
gtex_rsid4809.bed	4	7
gtex_rsid4810.bed	1	2
gtex_rsid4811.bed	4	6
gtex_rsid4812.bed	3	6
gtex_rsid4813.bed	7	12
gtex_rsid4814.bed	2	3
gtex_rsid4815.bed	3	5
gtex_rsid4816.bed	5	18
gtex_rsid4817.bed	5	6
gtex_rsid4818.bed	4	4
gtex_rsid4819.bed	6	20
gtex_rsid4820.bed	1	4
gtex_rsid4821.bed	7	10
gtex_rsid4822.bed	7	7
gtex_rsid4823.bed	5	15
gtex_rsid4824.bed	6	12
gtex_rsid4825.bed	4	7
gtex_rsid4826.bed	2	3
gtex_rsid4827.bed	8	11
gtex_rsid4828.bed	3	15
gtex_rsid4829.bed	4	9
gtex_rsid4830.bed	0	0
gtex_rsid4831.bed	2	2
gtex_rsid4832.bed	7	11
gtex_rsid4833.bed	5	7
gtex_rsid4834.bed	3	7
gtex_rsid4835.bed	4	10
gtex_rsid4836.bed	8	21
gtex_rsid4837.bed	8	22
gtex_rsid4838.bed	4	19
gtex_rsid4839.bed	7	9
gtex_rsid4840.bed	1	1
gtex_rsid4841.bed	2	2
gtex_rsid4842.bed	8	14
gtex_rsid4843.bed	3	12
gtex_rsid4844.bed	3	3
gtex_rsid4845.bed	8	11
gtex_rsid4846.bed	5	12
gtex_rsid4847.bed	6	19
gtex_rsid4848.bed	3	9
gtex_rsid4849.bed	3	3
gtex_rsid4850.bed	5	9
gtex_rsid4851.bed	3	3
gtex_rsid4852.bed	2	2
gtex_rsid4853.bed	4	7
gtex_rsid4854.bed	2	13
gtex_rsid4855.bed	3	14
gtex_rsid4856.bed	6	11
gtex_rsid4857.bed	6	12
gtex_rsid4858.bed	2	3
gtex_rsid4859.bed	3	10
gtex_rsid4860.bed	4	11
gtex_rsid4861.bed	3	6
gtex_rsid4862.bed	3	6
gtex_rsid4863.bed	5	8
gtex_rsid4864.bed	5	7
gtex_rsid4865.bed	3	4
gtex_rsid4866.bed	9	14
gtex_rsid4867.bed	11	20
gtex_rsid4868.bed	7	14
gtex_rsid4869.bed	0	0
gtex_rsid4870.bed	0	0
gtex_rsid4871.bed	6	7
gtex_rsid4872.bed	4	4
gtex_rsid4873.bed	7	12
gtex_rsid4874.bed	3	5
gtex_rsid4875.bed	4	8
gtex_rsid4876.bed	4	8
gtex_rsid4877.bed	5	5
gtex_rsid4878.bed	6	9
gtex_rsid4879.bed	5	9
gtex_rsid4880.bed	5	21
gtex_rsid4881.bed	3	4
gtex_rsid4882.bed	6	25
gtex_rsid4883.bed	4	7
gtex_rsid4884.bed	4	5
gtex_rsid4885.bed	5	8
gtex_rsid4886.bed	5	7
gtex_rsid4887.bed	6	19
gtex_rsid4888.bed	6	14
gtex_rsid4889.bed	1	1
gtex_rsid4890.bed	3	5
gtex_rsid4891.bed	10	30
gtex_rsid4892.bed	7	14
gtex_rsid4893.bed	5	15
gtex_rsid4894.bed	4	14
gtex_rsid4895.bed	3	6
gtex_rsid4896.bed	7	8
gtex_rsid4897.bed	5	12
gtex_rsid4898.bed	7	9
gtex_rsid4899.bed	6	7
gtex_rsid4900.bed	5	6
gtex_rsid4901.bed	3	14
gtex_rsid4902.bed	9	10
gtex_rsid4903.bed	4	11
gtex_rsid4904.bed	6	15
gtex_rsid4905.bed	5	16
gtex_rsid4906.bed	6	19
gtex_rsid4907.bed	8	19
gtex_rsid4908.bed	7	10
gtex_rsid4909.bed	7	21
gtex_rsid4910.bed	5	13
gtex_rsid4911.bed	5	11
gtex_rsid4912.bed	3	7
gtex_rsid4913.bed	3	4
gtex_rsid4914.bed	4	10
gtex_rsid4915.bed	3	5
gtex_rsid4916.bed	4	10
gtex_rsid4917.bed	3	3
gtex_rsid4918.bed	6	9
gtex_rsid4919.bed	4	10
gtex_rsid4920.bed	4	18
gtex_rsid4921.bed	3	4
gtex_rsid4922.bed	8	19
gtex_rsid4923.bed	2	3
gtex_rsid4924.bed	6	9
gtex_rsid4925.bed	5	11
gtex_rsid4926.bed	2	6
gtex_rsid4927.bed	7	8
gtex_rsid4928.bed	5	7
gtex_rsid4929.bed	3	10
gtex_rsid4930.bed	5	7
gtex_rsid4931.bed	4	8
gtex_rsid4932.bed	7	17
gtex_rsid4933.bed	2	3
gtex_rsid4934.bed	5	14
gtex_rsid4935.bed	3	3
gtex_rsid4936.bed	6	8
gtex_rsid4937.bed	3	7
gtex_rsid4938.bed	8	12
gtex_rsid4939.bed	6	6
gtex_rsid4940.bed	4	7
gtex_rsid4941.bed	3	5
gtex_rsid4942.bed	5	10
gtex_rsid4943.bed	5	11
gtex_rsid4944.bed	6	13
gtex_rsid4945.bed	6	14
gtex_rsid4946.bed	2	5
gtex_rsid4947.bed	6	6
gtex_rsid4948.bed	5	10
gtex_rsid4949.bed	6	13
gtex_rsid4950.bed	7	10
gtex_rsid4951.bed	1	1
gtex_rsid4952.bed	11	25
gtex_rsid4953.bed	5	5
gtex_rsid4954.bed	7	12
gtex_rsid4955.bed	2	2
gtex_rsid4956.bed	6	17
gtex_rsid4957.bed	6	19
gtex_rsid4958.bed	3	3
gtex_rsid4959.bed	9	21
gtex_rsid4960.bed	3	3
gtex_rsid4961.bed	2	2
gtex_rsid4962.bed	7	14
gtex_rsid4963.bed	7	10
gtex_rsid4964.bed	6	10
gtex_rsid4965.bed	0	0
gtex_rsid4966.bed	2	17
gtex_rsid4967.bed	5	10
gtex_rsid4968.bed	6	7
gtex_rsid4969.bed	6	11
gtex_rsid4970.bed	6	9
gtex_rsid4971.bed	6	9
gtex_rsid4972.bed	5	11
gtex_rsid4973.bed	4	8
gtex_rsid4974.bed	3	7
gtex_rsid4975.bed	8	8
gtex_rsid4976.bed	6	13
gtex_rsid4977.bed	7	19
gtex_rsid4978.bed	13	22
gtex_rsid4979.bed	7	11
gtex_rsid4980.bed	1	1
gtex_rsid4981.bed	2	6
gtex_rsid4982.bed	6	17
gtex_rsid4983.bed	7	9
gtex_rsid4984.bed	6	18
gtex_rsid4985.bed	1	1
gtex_rsid4986.bed	7	9
gtex_rsid4987.bed	6	14
gtex_rsid4988.bed	10	39
gtex_rsid4989.bed	5	8
gtex_rsid4990.bed	4	10
gtex_rsid4991.bed	4	21
gtex_rsid4992.bed	6	13
gtex_rsid4993.bed	8	20
gtex_rsid4994.bed	6	22
gtex_rsid4995.bed	12	20
gtex_rsid4996.bed	1	4
gtex_rsid4997.bed	5	10
gtex_rsid4998.bed	6	9
gtex_rsid4999.bed	4	5
gtex_rsid5000.bed	8	17
gtex_rsid5001.bed	6	8
gtex_rsid5002.bed	7	44
gtex_rsid5003.bed	3	17
gtex_rsid5004.bed	6	9
gtex_rsid5005.bed	4	5
gtex_rsid5006.bed	1	3
gtex_rsid5007.bed	4	14
gtex_rsid5008.bed	7	12
gtex_rsid5009.bed	5	8
gtex_rsid5010.bed	3	12
gtex_rsid5011.bed	6	16
gtex_rsid5012.bed	4	14
gtex_rsid5013.bed	7	12
gtex_rsid5014.bed	3	5
gtex_rsid5015.bed	8	21
gtex_rsid5016.bed	5	8
gtex_rsid5017.bed	5	8
gtex_rsid5018.bed	6	11
gtex_rsid5019.bed	5	9
gtex_rsid5020.bed	10	16
gtex_rsid5021.bed	4	12
gtex_rsid5022.bed	4	14
gtex_rsid5023.bed	5	6
gtex_rsid5024.bed	4	4
gtex_rsid5025.bed	5	9
gtex_rsid5026.bed	4	5
gtex_rsid5027.bed	5	8
gtex_rsid5028.bed	8	16
gtex_rsid5029.bed	5	21
gtex_rsid5030.bed	3	4
gtex_rsid5031.bed	6	11
gtex_rsid5032.bed	2	4
gtex_rsid5033.bed	5	6
gtex_rsid5034.bed	5	18
gtex_rsid5035.bed	6	9
gtex_rsid5036.bed	7	12
gtex_rsid5037.bed	2	2
gtex_rsid5038.bed	2	2
gtex_rsid5039.bed	2	3
gtex_rsid5040.bed	4	8
gtex_rsid5041.bed	2	9
gtex_rsid5042.bed	5	17
gtex_rsid5043.bed	6	8
gtex_rsid5044.bed	4	6
gtex_rsid5045.bed	11	20
gtex_rsid5046.bed	9	17
gtex_rsid5047.bed	7	8
gtex_rsid5048.bed	6	6
gtex_rsid5049.bed	7	9
gtex_rsid5050.bed	7	7
gtex_rsid5051.bed	4	4
gtex_rsid5052.bed	3	3
gtex_rsid5053.bed	8	19
gtex_rsid5054.bed	1	2
gtex_rsid5055.bed	5	7
gtex_rsid5056.bed	6	9
gtex_rsid5057.bed	4	6
gtex_rsid5058.bed	2	2
gtex_rsid5059.bed	7	9
gtex_rsid5060.bed	6	24
gtex_rsid5061.bed	1	2
gtex_rsid5062.bed	6	15
gtex_rsid5063.bed	5	10
gtex_rsid5064.bed	9	23
gtex_rsid5065.bed	4	8
gtex_rsid5066.bed	3	6
gtex_rsid5067.bed	7	10
gtex_rsid5068.bed	6	15
gtex_rsid5069.bed	1	1
gtex_rsid5070.bed	6	12
gtex_rsid5071.bed	5	5
gtex_rsid5072.bed	8	23
gtex_rsid5073.bed	2	2
gtex_rsid5074.bed	6	9
gtex_rsid5075.bed	3	3
gtex_rsid5076.bed	2	4
gtex_rsid5077.bed	4	7
gtex_rsid5078.bed	7	19
gtex_rsid5079.bed	4	9
gtex_rsid5080.bed	5	10
gtex_rsid5081.bed	6	12
gtex_rsid5082.bed	4	9
gtex_rsid5083.bed	3	12
gtex_rsid5084.bed	4	17
gtex_rsid5085.bed	9	17
gtex_rsid5086.bed	6	14
gtex_rsid5087.bed	4	8
gtex_rsid5088.bed	4	12
gtex_rsid5089.bed	2	3
gtex_rsid5090.bed	3	8
gtex_rsid5091.bed	4	4
gtex_rsid5092.bed	9	16
gtex_rsid5093.bed	7	6
gtex_rsid5094.bed	7	29
gtex_rsid5095.bed	7	8
gtex_rsid5096.bed	2	6
gtex_rsid5097.bed	2	4
gtex_rsid5098.bed	2	3
gtex_rsid5099.bed	5	7
gtex_rsid5100.bed	3	8
gtex_rsid5101.bed	1	1
gtex_rsid5102.bed	6	17
gtex_rsid5103.bed	3	4
gtex_rsid5104.bed	1	1
gtex_rsid5105.bed	8	9
gtex_rsid5106.bed	6	13
gtex_rsid5107.bed	6	8
gtex_rsid5108.bed	8	10
gtex_rsid5109.bed	2	2
gtex_rsid5110.bed	4	17
gtex_rsid5111.bed	4	5
gtex_rsid5112.bed	7	18
gtex_rsid5113.bed	4	10
gtex_rsid5114.bed	6	6
gtex_rsid5115.bed	7	14
gtex_rsid5116.bed	0	0
gtex_rsid5117.bed	9	15
gtex_rsid5118.bed	4	9
gtex_rsid5119.bed	5	7
gtex_rsid5120.bed	3	4
gtex_rsid5121.bed	2	4
gtex_rsid5122.bed	5	7
gtex_rsid5123.bed	5	5
gtex_rsid5124.bed	3	22
gtex_rsid5125.bed	7	13
gtex_rsid5126.bed	2	6
gtex_rsid5127.bed	4	6
gtex_rsid5128.bed	4	8
gtex_rsid5129.bed	4	6
gtex_rsid5130.bed	4	12
gtex_rsid5131.bed	4	4
gtex_rsid5132.bed	4	13
gtex_rsid5133.bed	8	15
gtex_rsid5134.bed	6	7
gtex_rsid5135.bed	3	4
gtex_rsid5136.bed	4	13
gtex_rsid5137.bed	6	9
gtex_rsid5138.bed	8	16
gtex_rsid5139.bed	5	7
gtex_rsid5140.bed	6	7
gtex_rsid5141.bed	3	3
gtex_rsid5142.bed	7	14
gtex_rsid5143.bed	3	4
gtex_rsid5144.bed	6	6
gtex_rsid5145.bed	4	9
gtex_rsid5146.bed	6	8
gtex_rsid5147.bed	0	0
gtex_rsid5148.bed	4	15
gtex_rsid5149.bed	3	10
gtex_rsid5150.bed	8	10
gtex_rsid5151.bed	5	5
gtex_rsid5152.bed	6	9
gtex_rsid5153.bed	8	36
gtex_rsid5154.bed	7	10
gtex_rsid5155.bed	7	11
gtex_rsid5156.bed	6	9
gtex_rsid5157.bed	5	5
gtex_rsid5158.bed	7	10
gtex_rsid5159.bed	10	23
gtex_rsid5160.bed	4	9
gtex_rsid5161.bed	8	16
gtex_rsid5162.bed	5	8
gtex_rsid5163.bed	5	18
gtex_rsid5164.bed	11	28
gtex_rsid5165.bed	3	5
gtex_rsid5166.bed	5	9
gtex_rsid5167.bed	7	8
gtex_rsid5168.bed	1	1
gtex_rsid5169.bed	5	25
gtex_rsid5170.bed	1	1
gtex_rsid5171.bed	4	7
gtex_rsid5172.bed	8	14
gtex_rsid5173.bed	3	11
gtex_rsid5174.bed	5	9
gtex_rsid5175.bed	4	4
gtex_rsid5176.bed	3	12
gtex_rsid5177.bed	7	20
gtex_rsid5178.bed	8	25
gtex_rsid5179.bed	10	17
gtex_rsid5180.bed	6	7
gtex_rsid5181.bed	3	4
gtex_rsid5182.bed	3	5
gtex_rsid5183.bed	7	18
gtex_rsid5184.bed	3	16
gtex_rsid5185.bed	7	12
gtex_rsid5186.bed	3	5
gtex_rsid5187.bed	5	12
gtex_rsid5188.bed	2	11
gtex_rsid5189.bed	8	11
gtex_rsid5190.bed	1	6
gtex_rsid5191.bed	9	17
gtex_rsid5192.bed	3	6
gtex_rsid5193.bed	3	5
gtex_rsid5194.bed	3	5
gtex_rsid5195.bed	2	2
gtex_rsid5196.bed	1	1
gtex_rsid5197.bed	2	2
gtex_rsid5198.bed	2	2
gtex_rsid5199.bed	11	19
gtex_rsid5200.bed	6	8
gtex_rsid5201.bed	6	25
gtex_rsid5202.bed	4	7
gtex_rsid5203.bed	1	1
gtex_rsid5204.bed	9	18
gtex_rsid5205.bed	3	5
gtex_rsid5206.bed	3	4
gtex_rsid5207.bed	2	2
gtex_rsid5208.bed	6	6
gtex_rsid5209.bed	3	5
gtex_rsid5210.bed	8	22
gtex_rsid5211.bed	5	9
gtex_rsid5212.bed	6	9
gtex_rsid5213.bed	5	6
gtex_rsid5214.bed	5	10
gtex_rsid5215.bed	3	3
gtex_rsid5216.bed	4	8
gtex_rsid5217.bed	2	11
gtex_rsid5218.bed	3	3
gtex_rsid5219.bed	8	13
gtex_rsid5220.bed	10	22
gtex_rsid5221.bed	5	9
gtex_rsid5222.bed	9	21
gtex_rsid5223.bed	5	13
gtex_rsid5224.bed	8	23
gtex_rsid5225.bed	3	10
gtex_rsid5226.bed	5	15
gtex_rsid5227.bed	2	9
gtex_rsid5228.bed	4	5
gtex_rsid5229.bed	6	7
gtex_rsid5230.bed	5	14
gtex_rsid5231.bed	2	2
gtex_rsid5232.bed	5	9
gtex_rsid5233.bed	8	9
gtex_rsid5234.bed	3	3
gtex_rsid5235.bed	2	3
gtex_rsid5236.bed	6	8
gtex_rsid5237.bed	8	23
gtex_rsid5238.bed	1	1
gtex_rsid5239.bed	3	4
gtex_rsid5240.bed	9	11
gtex_rsid5241.bed	6	8
gtex_rsid5242.bed	5	17
gtex_rsid5243.bed	1	2
gtex_rsid5244.bed	3	4
gtex_rsid5245.bed	7	15
gtex_rsid5246.bed	2	2
gtex_rsid5247.bed	6	8
gtex_rsid5248.bed	3	3
gtex_rsid5249.bed	3	4
gtex_rsid5250.bed	5	8
gtex_rsid5251.bed	6	8
gtex_rsid5252.bed	6	11
gtex_rsid5253.bed	4	20
gtex_rsid5254.bed	5	7
gtex_rsid5255.bed	0	0
gtex_rsid5256.bed	5	10
gtex_rsid5257.bed	9	25
gtex_rsid5258.bed	11	15
gtex_rsid5259.bed	3	5
gtex_rsid5260.bed	3	10
gtex_rsid5261.bed	4	4
gtex_rsid5262.bed	8	12
gtex_rsid5263.bed	7	8
gtex_rsid5264.bed	6	24
gtex_rsid5265.bed	2	2
gtex_rsid5266.bed	7	12
gtex_rsid5267.bed	5	7
gtex_rsid5268.bed	4	5
gtex_rsid5269.bed	6	12
gtex_rsid5270.bed	3	4
gtex_rsid5271.bed	3	3
gtex_rsid5272.bed	3	10
gtex_rsid5273.bed	0	0
gtex_rsid5274.bed	0	0
gtex_rsid5275.bed	8	15
gtex_rsid5276.bed	5	5
gtex_rsid5277.bed	1	3
gtex_rsid5278.bed	7	13
gtex_rsid5279.bed	4	8
gtex_rsid5280.bed	4	9
gtex_rsid5281.bed	5	11
gtex_rsid5282.bed	4	6
gtex_rsid5283.bed	4	12
gtex_rsid5284.bed	5	8
gtex_rsid5285.bed	5	6
gtex_rsid5286.bed	5	6
gtex_rsid5287.bed	5	10
gtex_rsid5288.bed	4	8
gtex_rsid5289.bed	7	10
gtex_rsid5290.bed	5	16
gtex_rsid5291.bed	5	5
gtex_rsid5292.bed	4	4
gtex_rsid5293.bed	8	14
gtex_rsid5294.bed	5	13
gtex_rsid5295.bed	4	16
gtex_rsid5296.bed	4	8
gtex_rsid5297.bed	6	14
gtex_rsid5298.bed	2	2
gtex_rsid5299.bed	4	10
gtex_rsid5300.bed	3	3
gtex_rsid5301.bed	5	10
gtex_rsid5302.bed	4	6
gtex_rsid5303.bed	5	9
gtex_rsid5304.bed	3	8
gtex_rsid5305.bed	6	14
gtex_rsid5306.bed	3	6
gtex_rsid5307.bed	1	4
gtex_rsid5308.bed	14	27
gtex_rsid5309.bed	2	2
gtex_rsid5310.bed	4	6
gtex_rsid5311.bed	4	7
gtex_rsid5312.bed	1	1
gtex_rsid5313.bed	3	7
gtex_rsid5314.bed	2	3
gtex_rsid5315.bed	5	8
gtex_rsid5316.bed	4	8
gtex_rsid5317.bed	9	13
gtex_rsid5318.bed	3	4
gtex_rsid5319.bed	2	2
gtex_rsid5320.bed	3	9
gtex_rsid5321.bed	2	2
gtex_rsid5322.bed	9	15
gtex_rsid5323.bed	1	6
gtex_rsid5324.bed	9	16
gtex_rsid5325.bed	4	7
gtex_rsid5326.bed	8	41
gtex_rsid5327.bed	7	22
gtex_rsid5328.bed	5	10
gtex_rsid5329.bed	2	2
gtex_rsid5330.bed	3	5
gtex_rsid5331.bed	4	8
gtex_rsid5332.bed	7	8
gtex_rsid5333.bed	5	8
gtex_rsid5334.bed	3	3
gtex_rsid5335.bed	6	26
gtex_rsid5336.bed	5	6
gtex_rsid5337.bed	5	11
gtex_rsid5338.bed	5	8
gtex_rsid5339.bed	1	5
gtex_rsid5340.bed	4	9
gtex_rsid5341.bed	2	3
gtex_rsid5342.bed	3	3
gtex_rsid5343.bed	1	4
gtex_rsid5344.bed	2	3
gtex_rsid5345.bed	5	11
gtex_rsid5346.bed	6	10
gtex_rsid5347.bed	3	8
gtex_rsid5348.bed	5	7
gtex_rsid5349.bed	4	8
gtex_rsid5350.bed	7	15
gtex_rsid5351.bed	2	2
gtex_rsid5352.bed	4	9
gtex_rsid5353.bed	5	8
gtex_rsid5354.bed	6	14
gtex_rsid5355.bed	5	17
gtex_rsid5356.bed	4	9
gtex_rsid5357.bed	4	8
gtex_rsid5358.bed	5	5
gtex_rsid5359.bed	6	7
gtex_rsid5360.bed	1	12
gtex_rsid5361.bed	3	3
gtex_rsid5362.bed	4	9
gtex_rsid5363.bed	2	2
gtex_rsid5364.bed	11	16
gtex_rsid5365.bed	1	2
gtex_rsid5366.bed	4	7
gtex_rsid5367.bed	8	17
gtex_rsid5368.bed	6	7
gtex_rsid5369.bed	5	13
gtex_rsid5370.bed	2	7
gtex_rsid5371.bed	7	18
gtex_rsid5372.bed	2	2
gtex_rsid5373.bed	2	4
gtex_rsid5374.bed	7	11
gtex_rsid5375.bed	3	5
gtex_rsid5376.bed	6	7
gtex_rsid5377.bed	4	8
gtex_rsid5378.bed	6	8
gtex_rsid5379.bed	6	10
gtex_rsid5380.bed	6	17
gtex_rsid5381.bed	3	3
gtex_rsid5382.bed	6	15
gtex_rsid5383.bed	4	16
gtex_rsid5384.bed	6	14
gtex_rsid5385.bed	5	15
gtex_rsid5386.bed	5	7
gtex_rsid5387.bed	3	6
gtex_rsid5388.bed	4	8
gtex_rsid5389.bed	6	9
gtex_rsid5390.bed	5	11
gtex_rsid5391.bed	3	7
gtex_rsid5392.bed	5	12
gtex_rsid5393.bed	6	11
gtex_rsid5394.bed	6	11
gtex_rsid5395.bed	5	8
gtex_rsid5396.bed	6	18
gtex_rsid5397.bed	8	14
gtex_rsid5398.bed	6	17
gtex_rsid5399.bed	3	7
gtex_rsid5400.bed	4	8
gtex_rsid5401.bed	6	8
gtex_rsid5402.bed	3	5
gtex_rsid5403.bed	9	18
gtex_rsid5404.bed	5	19
gtex_rsid5405.bed	6	15
gtex_rsid5406.bed	3	4
gtex_rsid5407.bed	7	12
gtex_rsid5408.bed	6	14
gtex_rsid5409.bed	5	11
gtex_rsid5410.bed	4	7
gtex_rsid5411.bed	4	5
gtex_rsid5412.bed	2	2
gtex_rsid5413.bed	2	2
gtex_rsid5414.bed	5	11
gtex_rsid5415.bed	6	14
gtex_rsid5416.bed	5	10
gtex_rsid5417.bed	6	10
gtex_rsid5418.bed	4	8
gtex_rsid5419.bed	8	21
gtex_rsid5420.bed	5	9
gtex_rsid5421.bed	6	9
gtex_rsid5422.bed	4	6
gtex_rsid5423.bed	11	18
gtex_rsid5424.bed	9	24
gtex_rsid5425.bed	5	8
gtex_rsid5426.bed	4	9
gtex_rsid5427.bed	9	22
gtex_rsid5428.bed	4	11
gtex_rsid5429.bed	1	4
gtex_rsid5430.bed	6	13
gtex_rsid5431.bed	7	16
gtex_rsid5432.bed	6	20
gtex_rsid5433.bed	8	11
gtex_rsid5434.bed	2	4
gtex_rsid5435.bed	10	23
gtex_rsid5436.bed	6	7
gtex_rsid5437.bed	7	8
gtex_rsid5438.bed	4	8
gtex_rsid5439.bed	0	0
gtex_rsid5440.bed	2	2
gtex_rsid5441.bed	6	13
gtex_rsid5442.bed	7	10
gtex_rsid5443.bed	7	15
gtex_rsid5444.bed	12	27
gtex_rsid5445.bed	5	9
gtex_rsid5446.bed	6	11
gtex_rsid5447.bed	4	23
gtex_rsid5448.bed	5	8
gtex_rsid5449.bed	6	10
gtex_rsid5450.bed	4	8
gtex_rsid5451.bed	4	11
gtex_rsid5452.bed	7	16
gtex_rsid5453.bed	4	4
gtex_rsid5454.bed	6	16
gtex_rsid5455.bed	5	6
gtex_rsid5456.bed	13	19
gtex_rsid5457.bed	4	7
gtex_rsid5458.bed	3	3
gtex_rsid5459.bed	7	14
gtex_rsid5460.bed	8	10
gtex_rsid5461.bed	5	10
gtex_rsid5462.bed	5	11
gtex_rsid5463.bed	2	3
gtex_rsid5464.bed	1	1
gtex_rsid5465.bed	6	6
gtex_rsid5466.bed	9	12
gtex_rsid5467.bed	5	7
gtex_rsid5468.bed	7	15
gtex_rsid5469.bed	2	3
gtex_rsid5470.bed	0	0
gtex_rsid5471.bed	4	4
gtex_rsid5472.bed	7	13
gtex_rsid5473.bed	5	8
gtex_rsid5474.bed	3	7
gtex_rsid5475.bed	1	1
gtex_rsid5476.bed	4	8
gtex_rsid5477.bed	8	20
gtex_rsid5478.bed	5	14
gtex_rsid5479.bed	4	5
gtex_rsid5480.bed	4	9
gtex_rsid5481.bed	4	7
gtex_rsid5482.bed	4	4
gtex_rsid5483.bed	6	12
gtex_rsid5484.bed	3	4
gtex_rsid5485.bed	3	8
gtex_rsid5486.bed	5	14
gtex_rsid5487.bed	4	4
gtex_rsid5488.bed	3	4
gtex_rsid5489.bed	4	11
gtex_rsid5490.bed	4	5
gtex_rsid5491.bed	6	16
gtex_rsid5492.bed	4	7
gtex_rsid5493.bed	4	4
gtex_rsid5494.bed	5	12
gtex_rsid5495.bed	4	8
gtex_rsid5496.bed	4	8
gtex_rsid5497.bed	7	18
gtex_rsid5498.bed	7	10
gtex_rsid5499.bed	4	8
gtex_rsid5500.bed	6	11
gtex_rsid5501.bed	4	13
gtex_rsid5502.bed	6	10
gtex_rsid5503.bed	2	2
gtex_rsid5504.bed	3	4
gtex_rsid5505.bed	5	9
gtex_rsid5506.bed	4	9
gtex_rsid5507.bed	4	8
gtex_rsid5508.bed	7	9
gtex_rsid5509.bed	4	7
gtex_rsid5510.bed	4	6
gtex_rsid5511.bed	8	9
gtex_rsid5512.bed	7	14
gtex_rsid5513.bed	3	9
gtex_rsid5514.bed	4	5
gtex_rsid5515.bed	4	8
gtex_rsid5516.bed	2	4
gtex_rsid5517.bed	2	2
gtex_rsid5518.bed	4	8
gtex_rsid5519.bed	5	11
gtex_rsid5520.bed	8	15
gtex_rsid5521.bed	10	18
gtex_rsid5522.bed	9	10
gtex_rsid5523.bed	5	8
gtex_rsid5524.bed	4	10
gtex_rsid5525.bed	8	11
gtex_rsid5526.bed	5	8
gtex_rsid5527.bed	2	2
gtex_rsid5528.bed	5	9
gtex_rsid5529.bed	6	6
gtex_rsid5530.bed	5	10
gtex_rsid5531.bed	4	11
gtex_rsid5532.bed	4	12
gtex_rsid5533.bed	10	12
gtex_rsid5534.bed	4	10
gtex_rsid5535.bed	3	10
gtex_rsid5536.bed	3	4
gtex_rsid5537.bed	3	9
gtex_rsid5538.bed	2	3
gtex_rsid5539.bed	3	3
gtex_rsid5540.bed	2	9
gtex_rsid5541.bed	7	9
gtex_rsid5542.bed	1	1
gtex_rsid5543.bed	4	8
gtex_rsid5544.bed	5	7
gtex_rsid5545.bed	6	14
gtex_rsid5546.bed	5	5
gtex_rsid5547.bed	5	6
gtex_rsid5548.bed	5	7
gtex_rsid5549.bed	9	13
gtex_rsid5550.bed	3	5
gtex_rsid5551.bed	6	11
gtex_rsid5552.bed	4	9
gtex_rsid5553.bed	5	5
