random	SNP_n	Enh_n
encode_rsid334.tsv	239	239
encode_rsid335.tsv	254	254
encode_rsid336.tsv	272	272
encode_rsid337.tsv	223	223
encode_rsid338.tsv	253	253
encode_rsid339.tsv	250	250
encode_rsid340.tsv	247	247
encode_rsid341.tsv	254	253
encode_rsid342.tsv	237	237
encode_rsid343.tsv	258	258
encode_rsid344.tsv	240	239
encode_rsid345.tsv	248	248
encode_rsid346.tsv	247	247
encode_rsid347.tsv	244	244
encode_rsid348.tsv	267	267
encode_rsid349.tsv	247	247
encode_rsid350.tsv	230	230
encode_rsid351.tsv	254	254
encode_rsid352.tsv	241	241
encode_rsid353.tsv	249	249
encode_rsid354.tsv	234	234
encode_rsid355.tsv	241	241
encode_rsid356.tsv	263	263
encode_rsid357.tsv	255	255
encode_rsid358.tsv	254	254
encode_rsid359.tsv	250	250
encode_rsid360.tsv	244	244
encode_rsid361.tsv	263	263
encode_rsid362.tsv	253	253
encode_rsid363.tsv	222	222
encode_rsid364.tsv	241	241
encode_rsid365.tsv	226	226
encode_rsid366.tsv	247	247
encode_rsid367.tsv	233	233
encode_rsid368.tsv	223	223
encode_rsid369.tsv	250	250
encode_rsid370.tsv	232	232
encode_rsid371.tsv	241	241
encode_rsid372.tsv	254	254
encode_rsid373.tsv	261	261
encode_rsid374.tsv	262	262
encode_rsid375.tsv	262	262
encode_rsid376.tsv	257	257
encode_rsid377.tsv	242	242
encode_rsid378.tsv	238	238
encode_rsid379.tsv	232	232
encode_rsid380.tsv	267	267
encode_rsid381.tsv	259	259
encode_rsid382.tsv	237	237
encode_rsid383.tsv	257	257
encode_rsid384.tsv	225	225
encode_rsid385.tsv	257	257
encode_rsid386.tsv	249	249
encode_rsid387.tsv	237	237
encode_rsid388.tsv	229	229
encode_rsid389.tsv	255	255
encode_rsid390.tsv	247	247
encode_rsid391.tsv	259	259
encode_rsid392.tsv	257	257
encode_rsid393.tsv	239	238
encode_rsid394.tsv	255	255
encode_rsid395.tsv	265	265
encode_rsid396.tsv	249	249
encode_rsid397.tsv	248	247
encode_rsid398.tsv	239	239
encode_rsid399.tsv	279	279
encode_rsid400.tsv	266	266
encode_rsid401.tsv	237	237
encode_rsid402.tsv	255	255
encode_rsid403.tsv	224	224
encode_rsid404.tsv	232	232
encode_rsid405.tsv	282	282
encode_rsid406.tsv	265	265
encode_rsid407.tsv	253	253
encode_rsid408.tsv	240	240
encode_rsid409.tsv	244	244
encode_rsid410.tsv	230	230
encode_rsid411.tsv	256	256
encode_rsid412.tsv	253	253
encode_rsid413.tsv	302	302
encode_rsid414.tsv	247	247
encode_rsid415.tsv	247	247
encode_rsid416.tsv	265	265
encode_rsid417.tsv	261	261
encode_rsid418.tsv	261	261
encode_rsid419.tsv	237	237
encode_rsid420.tsv	255	255
encode_rsid421.tsv	244	244
encode_rsid422.tsv	234	234
encode_rsid423.tsv	240	240
encode_rsid424.tsv	244	243
encode_rsid425.tsv	260	260
encode_rsid426.tsv	250	250
encode_rsid427.tsv	265	265
encode_rsid428.tsv	271	271
encode_rsid429.tsv	256	256
encode_rsid430.tsv	246	246
encode_rsid431.tsv	245	245
encode_rsid432.tsv	238	238
encode_rsid433.tsv	256	256
encode_rsid434.tsv	252	252
encode_rsid435.tsv	276	275
encode_rsid436.tsv	259	259
encode_rsid437.tsv	259	259
encode_rsid438.tsv	238	238
encode_rsid439.tsv	253	253
encode_rsid440.tsv	245	245
encode_rsid441.tsv	260	260
encode_rsid442.tsv	254	254
encode_rsid443.tsv	262	262
encode_rsid444.tsv	249	249
encode_rsid445.tsv	234	234
encode_rsid446.tsv	256	256
encode_rsid447.tsv	275	275
encode_rsid448.tsv	268	268
encode_rsid449.tsv	267	267
encode_rsid450.tsv	250	249
encode_rsid451.tsv	232	231
encode_rsid452.tsv	238	238
encode_rsid453.tsv	250	250
encode_rsid454.tsv	264	264
