random	SNP_n	lncRNA_n
lncrna_rsid1870.bed	23	29
lncrna_rsid1871.bed	19	28
lncrna_rsid1872.bed	15	17
lncrna_rsid1873.bed	22	28
lncrna_rsid1874.bed	16	36
lncrna_rsid1875.bed	20	25
lncrna_rsid1876.bed	22	25
lncrna_rsid1877.bed	24	30
lncrna_rsid1878.bed	27	34
lncrna_rsid1879.bed	22	40
lncrna_rsid1880.bed	27	44
lncrna_rsid1881.bed	18	27
lncrna_rsid1882.bed	20	25
lncrna_rsid1883.bed	19	23
lncrna_rsid1884.bed	18	32
lncrna_rsid1885.bed	21	26
lncrna_rsid1886.bed	21	27
lncrna_rsid1887.bed	18	27
lncrna_rsid1888.bed	20	27
lncrna_rsid1889.bed	15	20
lncrna_rsid1890.bed	18	18
lncrna_rsid1891.bed	16	27
lncrna_rsid1892.bed	18	22
lncrna_rsid1893.bed	23	44
lncrna_rsid1894.bed	22	25
lncrna_rsid1895.bed	22	22
lncrna_rsid1896.bed	16	19
lncrna_rsid1897.bed	24	24
lncrna_rsid1898.bed	22	26
lncrna_rsid1899.bed	14	21
lncrna_rsid1900.bed	21	27
lncrna_rsid1901.bed	17	26
lncrna_rsid1902.bed	26	40
lncrna_rsid1903.bed	22	31
lncrna_rsid1904.bed	15	21
lncrna_rsid1905.bed	24	61
lncrna_rsid1906.bed	20	27
lncrna_rsid1907.bed	27	35
lncrna_rsid1908.bed	23	40
lncrna_rsid1909.bed	17	23
lncrna_rsid1910.bed	21	43
lncrna_rsid1911.bed	27	35
lncrna_rsid1912.bed	32	53
lncrna_rsid1913.bed	21	30
lncrna_rsid1914.bed	18	24
lncrna_rsid1915.bed	18	19
lncrna_rsid1916.bed	14	16
lncrna_rsid1917.bed	16	29
lncrna_rsid1918.bed	20	24
lncrna_rsid1919.bed	17	24
lncrna_rsid1920.bed	23	26
lncrna_rsid1921.bed	17	21
lncrna_rsid1922.bed	20	26
lncrna_rsid1923.bed	20	28
lncrna_rsid1924.bed	23	29
lncrna_rsid1925.bed	24	31
lncrna_rsid1926.bed	30	36
lncrna_rsid1927.bed	20	27
lncrna_rsid1928.bed	18	28
lncrna_rsid1929.bed	19	33
lncrna_rsid1930.bed	15	19
lncrna_rsid1931.bed	22	42
lncrna_rsid1932.bed	21	26
lncrna_rsid1933.bed	20	28
lncrna_rsid1934.bed	18	28
lncrna_rsid1935.bed	12	14
lncrna_rsid1936.bed	14	14
lncrna_rsid1937.bed	20	33
lncrna_rsid1938.bed	24	27
lncrna_rsid1939.bed	21	26
lncrna_rsid1940.bed	19	24
lncrna_rsid1941.bed	16	19
lncrna_rsid1942.bed	21	27
lncrna_rsid1943.bed	20	28
lncrna_rsid1944.bed	14	20
lncrna_rsid1945.bed	26	44
lncrna_rsid1946.bed	18	27
lncrna_rsid1947.bed	24	39
lncrna_rsid1948.bed	22	47
lncrna_rsid1949.bed	18	23
lncrna_rsid1950.bed	22	28
lncrna_rsid1951.bed	21	23
lncrna_rsid1952.bed	23	24
lncrna_rsid1953.bed	21	27
lncrna_rsid1954.bed	20	36
lncrna_rsid1955.bed	27	33
lncrna_rsid1956.bed	12	16
lncrna_rsid1957.bed	19	24
lncrna_rsid1958.bed	22	28
lncrna_rsid1959.bed	18	43
lncrna_rsid1960.bed	25	55
lncrna_rsid1961.bed	20	25
lncrna_rsid1962.bed	20	36
lncrna_rsid1963.bed	15	20
lncrna_rsid1964.bed	20	25
lncrna_rsid1965.bed	13	17
lncrna_rsid1966.bed	13	20
lncrna_rsid1967.bed	17	22
lncrna_rsid1968.bed	22	44
lncrna_rsid1969.bed	25	32
lncrna_rsid1970.bed	25	36
lncrna_rsid1971.bed	15	18
lncrna_rsid1972.bed	17	17
lncrna_rsid1973.bed	21	30
lncrna_rsid1974.bed	20	48
lncrna_rsid1975.bed	16	17
lncrna_rsid1976.bed	17	22
lncrna_rsid1977.bed	22	37
lncrna_rsid1978.bed	11	12
lncrna_rsid1979.bed	18	24
lncrna_rsid1980.bed	26	31
lncrna_rsid1981.bed	32	36
lncrna_rsid1982.bed	17	22
lncrna_rsid1983.bed	21	25
lncrna_rsid1984.bed	21	27
lncrna_rsid1985.bed	25	32
lncrna_rsid1986.bed	24	35
lncrna_rsid1987.bed	17	20
lncrna_rsid1988.bed	17	24
lncrna_rsid1989.bed	27	44
lncrna_rsid1990.bed	21	39
lncrna_rsid1991.bed	23	29
lncrna_rsid1992.bed	20	21
lncrna_rsid1993.bed	20	26
lncrna_rsid1994.bed	21	28
lncrna_rsid1995.bed	17	21
lncrna_rsid1996.bed	7	10
lncrna_rsid1997.bed	25	34
lncrna_rsid1998.bed	21	28
lncrna_rsid1999.bed	19	25
lncrna_rsid2000.bed	27	46
lncrna_rsid2001.bed	18	19
lncrna_rsid2002.bed	17	28
lncrna_rsid2003.bed	16	24
lncrna_rsid2004.bed	17	19
lncrna_rsid2005.bed	18	26
lncrna_rsid2006.bed	24	30
lncrna_rsid2007.bed	12	17
lncrna_rsid2008.bed	24	33
lncrna_rsid2009.bed	23	31
lncrna_rsid2010.bed	24	29
lncrna_rsid2011.bed	22	48
lncrna_rsid2012.bed	21	23
lncrna_rsid2013.bed	21	35
lncrna_rsid2014.bed	20	24
lncrna_rsid2015.bed	20	33
lncrna_rsid2016.bed	24	32
lncrna_rsid2017.bed	20	25
lncrna_rsid2018.bed	24	31
lncrna_rsid2019.bed	15	19
lncrna_rsid2020.bed	15	26
lncrna_rsid2021.bed	14	18
lncrna_rsid2022.bed	20	24
lncrna_rsid2023.bed	24	27
lncrna_rsid2024.bed	16	27
lncrna_rsid2025.bed	17	48
lncrna_rsid2026.bed	16	21
lncrna_rsid2027.bed	19	24
lncrna_rsid2028.bed	18	19
lncrna_rsid2029.bed	25	47
lncrna_rsid2030.bed	22	24
lncrna_rsid2031.bed	19	22
lncrna_rsid2032.bed	18	37
lncrna_rsid2033.bed	28	47
lncrna_rsid2034.bed	18	30
lncrna_rsid2035.bed	23	30
lncrna_rsid2036.bed	16	20
lncrna_rsid2037.bed	22	25
lncrna_rsid2038.bed	16	20
lncrna_rsid2039.bed	23	35
lncrna_rsid2040.bed	15	16
lncrna_rsid2041.bed	24	34
lncrna_rsid2042.bed	18	20
lncrna_rsid2043.bed	21	30
lncrna_rsid2044.bed	14	22
lncrna_rsid2045.bed	15	28
lncrna_rsid2046.bed	19	23
lncrna_rsid2047.bed	18	23
lncrna_rsid2048.bed	25	30
lncrna_rsid2049.bed	21	30
lncrna_rsid2050.bed	29	39
lncrna_rsid2051.bed	20	29
lncrna_rsid2052.bed	24	30
lncrna_rsid2053.bed	26	37
lncrna_rsid2054.bed	19	26
lncrna_rsid2055.bed	20	23
lncrna_rsid2056.bed	24	29
lncrna_rsid2057.bed	24	37
lncrna_rsid2058.bed	24	28
lncrna_rsid2059.bed	13	16
lncrna_rsid2060.bed	19	19
lncrna_rsid2061.bed	28	35
lncrna_rsid2062.bed	18	28
lncrna_rsid2063.bed	23	35
lncrna_rsid2064.bed	23	31
lncrna_rsid2065.bed	29	47
lncrna_rsid2066.bed	19	23
lncrna_rsid2067.bed	15	20
lncrna_rsid2068.bed	19	21
lncrna_rsid2069.bed	25	41
lncrna_rsid2070.bed	16	24
lncrna_rsid2071.bed	15	18
lncrna_rsid2072.bed	30	39
lncrna_rsid2073.bed	22	25
lncrna_rsid2074.bed	19	30
lncrna_rsid2075.bed	19	23
lncrna_rsid2076.bed	24	28
lncrna_rsid2077.bed	20	24
lncrna_rsid2078.bed	25	31
lncrna_rsid2079.bed	26	72
lncrna_rsid2080.bed	17	23
lncrna_rsid2081.bed	21	30
lncrna_rsid2082.bed	25	28
lncrna_rsid2083.bed	17	19
lncrna_rsid2084.bed	27	39
lncrna_rsid2085.bed	25	36
lncrna_rsid2086.bed	23	30
lncrna_rsid2087.bed	20	28
lncrna_rsid2088.bed	28	53
lncrna_rsid2089.bed	15	28
lncrna_rsid2090.bed	20	29
lncrna_rsid2091.bed	27	31
lncrna_rsid2092.bed	22	33
lncrna_rsid2093.bed	29	44
lncrna_rsid2094.bed	21	25
lncrna_rsid2095.bed	23	24
lncrna_rsid2096.bed	14	26
lncrna_rsid2097.bed	24	27
lncrna_rsid2098.bed	23	28
lncrna_rsid2099.bed	22	24
lncrna_rsid2100.bed	30	44
lncrna_rsid2101.bed	25	40
lncrna_rsid2102.bed	25	28
lncrna_rsid2103.bed	23	28
lncrna_rsid2104.bed	23	34
lncrna_rsid2105.bed	27	41
lncrna_rsid2106.bed	20	36
lncrna_rsid2107.bed	16	25
lncrna_rsid2108.bed	16	18
lncrna_rsid2109.bed	19	25
lncrna_rsid2110.bed	22	41
lncrna_rsid2111.bed	20	28
lncrna_rsid2112.bed	21	31
lncrna_rsid2113.bed	19	22
lncrna_rsid2114.bed	16	20
lncrna_rsid2115.bed	25	36
lncrna_rsid2116.bed	14	16
lncrna_rsid2117.bed	14	15
lncrna_rsid2118.bed	23	29
lncrna_rsid2119.bed	22	27
lncrna_rsid2120.bed	31	47
lncrna_rsid2121.bed	24	34
lncrna_rsid2122.bed	19	25
lncrna_rsid2123.bed	18	20
lncrna_rsid2124.bed	20	32
lncrna_rsid2125.bed	22	26
lncrna_rsid2126.bed	28	46
lncrna_rsid2127.bed	26	38
lncrna_rsid2128.bed	20	31
lncrna_rsid2129.bed	15	19
lncrna_rsid2130.bed	17	21
lncrna_rsid2131.bed	16	24
lncrna_rsid2132.bed	20	25
lncrna_rsid2133.bed	22	26
lncrna_rsid2134.bed	23	35
lncrna_rsid2135.bed	10	21
lncrna_rsid2136.bed	23	30
lncrna_rsid2137.bed	18	59
lncrna_rsid2138.bed	16	20
lncrna_rsid2139.bed	31	36
lncrna_rsid2140.bed	16	20
lncrna_rsid2141.bed	22	28
lncrna_rsid2142.bed	32	39
lncrna_rsid2143.bed	31	43
lncrna_rsid2144.bed	21	40
lncrna_rsid2145.bed	18	25
lncrna_rsid2146.bed	8	12
lncrna_rsid2147.bed	28	35
lncrna_rsid2148.bed	27	49
lncrna_rsid2149.bed	20	22
lncrna_rsid2150.bed	19	30
lncrna_rsid2151.bed	12	12
lncrna_rsid2152.bed	19	25
lncrna_rsid2153.bed	16	21
lncrna_rsid2154.bed	35	45
lncrna_rsid2155.bed	25	29
lncrna_rsid2156.bed	15	22
lncrna_rsid2157.bed	11	17
lncrna_rsid2158.bed	26	35
lncrna_rsid2159.bed	18	21
lncrna_rsid2160.bed	26	33
lncrna_rsid2161.bed	21	34
lncrna_rsid2162.bed	18	28
lncrna_rsid2163.bed	27	50
lncrna_rsid2164.bed	23	38
lncrna_rsid2165.bed	25	66
lncrna_rsid2166.bed	25	38
lncrna_rsid2167.bed	20	24
lncrna_rsid2168.bed	16	21
lncrna_rsid2169.bed	11	13
lncrna_rsid2170.bed	18	22
lncrna_rsid2171.bed	19	21
lncrna_rsid2172.bed	19	27
lncrna_rsid2173.bed	29	40
lncrna_rsid2174.bed	18	23
lncrna_rsid2175.bed	26	30
lncrna_rsid2176.bed	24	28
lncrna_rsid2177.bed	21	27
lncrna_rsid2178.bed	17	35
lncrna_rsid2179.bed	14	22
lncrna_rsid2180.bed	13	23
lncrna_rsid2181.bed	21	34
lncrna_rsid2182.bed	31	34
lncrna_rsid2183.bed	20	26
lncrna_rsid2184.bed	25	37
lncrna_rsid2185.bed	17	21
lncrna_rsid2186.bed	18	26
lncrna_rsid2187.bed	22	27
lncrna_rsid2188.bed	24	41
lncrna_rsid2189.bed	24	36
lncrna_rsid2190.bed	21	44
lncrna_rsid2191.bed	24	25
lncrna_rsid2192.bed	17	22
lncrna_rsid2193.bed	19	29
lncrna_rsid2194.bed	20	29
lncrna_rsid2195.bed	15	31
lncrna_rsid2196.bed	22	24
lncrna_rsid2197.bed	16	23
lncrna_rsid2198.bed	20	37
lncrna_rsid2199.bed	22	32
lncrna_rsid2200.bed	24	39
lncrna_rsid2201.bed	23	28
lncrna_rsid2202.bed	11	14
lncrna_rsid2203.bed	25	31
lncrna_rsid2204.bed	24	31
lncrna_rsid2205.bed	14	22
lncrna_rsid2206.bed	14	20
lncrna_rsid2207.bed	21	36
lncrna_rsid2208.bed	17	24
lncrna_rsid2209.bed	26	34
lncrna_rsid2210.bed	22	31
lncrna_rsid2211.bed	22	45
lncrna_rsid2212.bed	24	37
lncrna_rsid2213.bed	20	28
lncrna_rsid2214.bed	21	38
lncrna_rsid2215.bed	23	47
lncrna_rsid2216.bed	18	24
lncrna_rsid2217.bed	19	20
lncrna_rsid2218.bed	18	20
lncrna_rsid2219.bed	20	27
lncrna_rsid2220.bed	20	28
lncrna_rsid2221.bed	16	23
lncrna_rsid2222.bed	26	33
lncrna_rsid2223.bed	20	27
lncrna_rsid2224.bed	23	28
lncrna_rsid2225.bed	23	46
lncrna_rsid2226.bed	23	33
lncrna_rsid2227.bed	14	15
lncrna_rsid2228.bed	18	22
lncrna_rsid2229.bed	19	25
lncrna_rsid2230.bed	19	30
lncrna_rsid2231.bed	18	23
lncrna_rsid2232.bed	28	43
lncrna_rsid2233.bed	27	38
lncrna_rsid2234.bed	19	29
lncrna_rsid2235.bed	18	23
lncrna_rsid2236.bed	20	32
lncrna_rsid2237.bed	24	32
lncrna_rsid2238.bed	16	20
lncrna_rsid2239.bed	18	24
lncrna_rsid2240.bed	23	28
lncrna_rsid2241.bed	27	35
lncrna_rsid2242.bed	31	51
lncrna_rsid2243.bed	25	34
lncrna_rsid2244.bed	24	32
lncrna_rsid2245.bed	19	27
lncrna_rsid2246.bed	20	34
lncrna_rsid2247.bed	16	16
lncrna_rsid2248.bed	26	48
lncrna_rsid2249.bed	25	33
lncrna_rsid2250.bed	17	34
lncrna_rsid2251.bed	16	20
lncrna_rsid2252.bed	30	41
lncrna_rsid2253.bed	28	34
lncrna_rsid2254.bed	12	13
lncrna_rsid2255.bed	18	22
lncrna_rsid2256.bed	16	19
lncrna_rsid2257.bed	21	25
lncrna_rsid2258.bed	23	34
lncrna_rsid2259.bed	17	24
lncrna_rsid2260.bed	24	29
lncrna_rsid2261.bed	18	22
lncrna_rsid2262.bed	18	21
lncrna_rsid2263.bed	17	20
lncrna_rsid2264.bed	23	28
lncrna_rsid2265.bed	23	27
lncrna_rsid2266.bed	10	12
lncrna_rsid2267.bed	18	22
lncrna_rsid2268.bed	21	26
lncrna_rsid2269.bed	19	25
lncrna_rsid2270.bed	28	38
lncrna_rsid2271.bed	26	32
lncrna_rsid2272.bed	22	27
lncrna_rsid2273.bed	23	37
lncrna_rsid2274.bed	21	23
lncrna_rsid2275.bed	22	34
lncrna_rsid2276.bed	19	27
lncrna_rsid2277.bed	23	36
lncrna_rsid2278.bed	21	27
lncrna_rsid2279.bed	19	23
lncrna_rsid2280.bed	24	30
lncrna_rsid2281.bed	24	36
lncrna_rsid2282.bed	19	32
lncrna_rsid2283.bed	20	21
lncrna_rsid2284.bed	12	16
lncrna_rsid2285.bed	17	17
lncrna_rsid2286.bed	25	29
lncrna_rsid2287.bed	28	38
lncrna_rsid2288.bed	23	35
lncrna_rsid2289.bed	23	30
lncrna_rsid2290.bed	20	26
lncrna_rsid2291.bed	18	22
lncrna_rsid2292.bed	16	19
lncrna_rsid2293.bed	16	18
lncrna_rsid2294.bed	25	30
lncrna_rsid2295.bed	16	24
lncrna_rsid2296.bed	18	28
lncrna_rsid2297.bed	19	22
lncrna_rsid2298.bed	18	25
lncrna_rsid2299.bed	23	30
lncrna_rsid2300.bed	15	23
lncrna_rsid2301.bed	22	42
lncrna_rsid2302.bed	21	26
lncrna_rsid2303.bed	16	23
lncrna_rsid2304.bed	21	27
lncrna_rsid2305.bed	18	27
lncrna_rsid2306.bed	15	24
lncrna_rsid2307.bed	13	20
lncrna_rsid2308.bed	18	21
lncrna_rsid2309.bed	22	33
lncrna_rsid2310.bed	27	34
lncrna_rsid2311.bed	15	21
lncrna_rsid2312.bed	14	25
lncrna_rsid2313.bed	16	19
lncrna_rsid2314.bed	18	28
lncrna_rsid2315.bed	26	31
lncrna_rsid2316.bed	28	41
lncrna_rsid2317.bed	23	35
lncrna_rsid2318.bed	19	34
lncrna_rsid2319.bed	15	17
lncrna_rsid2320.bed	18	24
lncrna_rsid2321.bed	22	27
lncrna_rsid2322.bed	21	30
lncrna_rsid2323.bed	29	48
lncrna_rsid2324.bed	18	24
lncrna_rsid2325.bed	18	22
lncrna_rsid2326.bed	21	24
lncrna_rsid2327.bed	22	31
lncrna_rsid2328.bed	21	31
lncrna_rsid2329.bed	28	56
lncrna_rsid2330.bed	26	38
lncrna_rsid2331.bed	20	24
lncrna_rsid2332.bed	24	40
lncrna_rsid2333.bed	17	20
lncrna_rsid2334.bed	28	35
lncrna_rsid2335.bed	19	27
lncrna_rsid2336.bed	16	21
lncrna_rsid2337.bed	11	17
lncrna_rsid2338.bed	18	22
lncrna_rsid2339.bed	28	38
lncrna_rsid2340.bed	18	22
lncrna_rsid2341.bed	20	23
lncrna_rsid2342.bed	18	36
lncrna_rsid2343.bed	19	31
lncrna_rsid2344.bed	27	47
lncrna_rsid2345.bed	22	29
lncrna_rsid2346.bed	20	41
lncrna_rsid2347.bed	21	29
lncrna_rsid2348.bed	6	8
lncrna_rsid2349.bed	25	32
lncrna_rsid2350.bed	15	25
lncrna_rsid2351.bed	15	21
lncrna_rsid2352.bed	25	31
lncrna_rsid2353.bed	17	25
lncrna_rsid2354.bed	30	45
lncrna_rsid2355.bed	21	29
lncrna_rsid2356.bed	20	28
lncrna_rsid2357.bed	12	18
lncrna_rsid2358.bed	19	22
lncrna_rsid2359.bed	20	23
lncrna_rsid2360.bed	16	37
lncrna_rsid2361.bed	16	28
lncrna_rsid2362.bed	23	32
lncrna_rsid2363.bed	20	25
lncrna_rsid2364.bed	15	17
lncrna_rsid2365.bed	18	22
lncrna_rsid2366.bed	14	17
lncrna_rsid2367.bed	19	31
lncrna_rsid2368.bed	13	17
lncrna_rsid2369.bed	18	39
lncrna_rsid2370.bed	18	23
lncrna_rsid2371.bed	16	23
lncrna_rsid2372.bed	24	36
lncrna_rsid2373.bed	17	21
lncrna_rsid2374.bed	14	16
lncrna_rsid2375.bed	30	42
lncrna_rsid2376.bed	26	32
lncrna_rsid2377.bed	24	32
lncrna_rsid2378.bed	20	32
lncrna_rsid2379.bed	23	27
lncrna_rsid2380.bed	29	38
lncrna_rsid2381.bed	23	32
lncrna_rsid2382.bed	19	34
lncrna_rsid2383.bed	24	40
lncrna_rsid2384.bed	14	28
lncrna_rsid2385.bed	19	38
lncrna_rsid2386.bed	20	30
lncrna_rsid2387.bed	11	14
lncrna_rsid2388.bed	20	23
lncrna_rsid2389.bed	21	27
lncrna_rsid2390.bed	20	28
lncrna_rsid2391.bed	19	28
lncrna_rsid2392.bed	15	32
lncrna_rsid2393.bed	19	36
lncrna_rsid2394.bed	21	34
lncrna_rsid2395.bed	24	32
lncrna_rsid2396.bed	21	30
lncrna_rsid2397.bed	23	26
lncrna_rsid2398.bed	19	25
lncrna_rsid2399.bed	20	23
lncrna_rsid2400.bed	20	26
lncrna_rsid2401.bed	16	25
lncrna_rsid2402.bed	10	11
lncrna_rsid2403.bed	24	34
lncrna_rsid2404.bed	12	15
lncrna_rsid2405.bed	20	24
lncrna_rsid2406.bed	29	35
lncrna_rsid2407.bed	22	29
lncrna_rsid2408.bed	25	36
lncrna_rsid2409.bed	21	28
lncrna_rsid2410.bed	20	29
lncrna_rsid2411.bed	23	30
lncrna_rsid2412.bed	19	29
lncrna_rsid2413.bed	26	35
lncrna_rsid2414.bed	18	23
lncrna_rsid2415.bed	29	39
lncrna_rsid2416.bed	17	23
lncrna_rsid2417.bed	17	26
lncrna_rsid2418.bed	21	33
lncrna_rsid2419.bed	18	20
lncrna_rsid2420.bed	20	27
lncrna_rsid2421.bed	22	35
lncrna_rsid2422.bed	23	30
lncrna_rsid2423.bed	12	13
lncrna_rsid2424.bed	19	22
lncrna_rsid2425.bed	20	24
lncrna_rsid2426.bed	22	24
lncrna_rsid2427.bed	26	32
lncrna_rsid2428.bed	27	36
lncrna_rsid2429.bed	20	26
lncrna_rsid2430.bed	13	13
lncrna_rsid2431.bed	17	32
lncrna_rsid2432.bed	30	33
lncrna_rsid2433.bed	27	41
lncrna_rsid2434.bed	27	38
lncrna_rsid2435.bed	20	25
lncrna_rsid2436.bed	14	21
lncrna_rsid2437.bed	27	35
lncrna_rsid2438.bed	25	30
lncrna_rsid2439.bed	17	21
lncrna_rsid2440.bed	21	28
lncrna_rsid2441.bed	25	38
lncrna_rsid2442.bed	23	35
lncrna_rsid2443.bed	22	27
lncrna_rsid2444.bed	24	37
lncrna_rsid2445.bed	18	30
lncrna_rsid2446.bed	10	15
lncrna_rsid2447.bed	19	28
lncrna_rsid2448.bed	25	31
lncrna_rsid2449.bed	21	30
lncrna_rsid2450.bed	27	36
lncrna_rsid2451.bed	21	27
lncrna_rsid2452.bed	24	27
lncrna_rsid2453.bed	30	39
lncrna_rsid2454.bed	18	22
lncrna_rsid2455.bed	25	30
lncrna_rsid2456.bed	20	25
lncrna_rsid2457.bed	19	27
lncrna_rsid2458.bed	20	27
lncrna_rsid2459.bed	24	36
lncrna_rsid2460.bed	20	23
lncrna_rsid2461.bed	18	30
lncrna_rsid2462.bed	14	16
lncrna_rsid2463.bed	12	20
lncrna_rsid2464.bed	25	33
lncrna_rsid2465.bed	24	27
lncrna_rsid2466.bed	19	23
lncrna_rsid2467.bed	21	35
lncrna_rsid2468.bed	17	18
lncrna_rsid2469.bed	20	35
lncrna_rsid2470.bed	20	22
lncrna_rsid2471.bed	17	24
lncrna_rsid2472.bed	29	40
lncrna_rsid2473.bed	15	21
lncrna_rsid2474.bed	28	39
lncrna_rsid2475.bed	17	30
lncrna_rsid2476.bed	23	33
lncrna_rsid2477.bed	18	24
lncrna_rsid2478.bed	18	28
lncrna_rsid2479.bed	19	22
lncrna_rsid2480.bed	21	27
lncrna_rsid2481.bed	17	20
lncrna_rsid2482.bed	17	22
lncrna_rsid2483.bed	19	26
lncrna_rsid2484.bed	24	30
lncrna_rsid2485.bed	17	24
lncrna_rsid2486.bed	22	41
lncrna_rsid2487.bed	30	62
lncrna_rsid2488.bed	22	26
lncrna_rsid2489.bed	27	35
lncrna_rsid2490.bed	25	29
lncrna_rsid2491.bed	24	29
lncrna_rsid2492.bed	23	34
lncrna_rsid2493.bed	8	8
lncrna_rsid2494.bed	11	12
lncrna_rsid2495.bed	28	33
lncrna_rsid2496.bed	20	34
lncrna_rsid2497.bed	19	26
lncrna_rsid2498.bed	26	36
lncrna_rsid2499.bed	18	21
lncrna_rsid2500.bed	20	33
lncrna_rsid2501.bed	17	25
lncrna_rsid2502.bed	20	26
lncrna_rsid2503.bed	14	17
lncrna_rsid2504.bed	23	28
lncrna_rsid2505.bed	22	44
lncrna_rsid2506.bed	24	34
lncrna_rsid2507.bed	21	25
lncrna_rsid2508.bed	21	31
lncrna_rsid2509.bed	18	22
lncrna_rsid2510.bed	25	35
lncrna_rsid2511.bed	31	42
lncrna_rsid2512.bed	14	17
lncrna_rsid2513.bed	21	28
lncrna_rsid2514.bed	25	31
lncrna_rsid2515.bed	22	33
lncrna_rsid2516.bed	23	23
lncrna_rsid2517.bed	29	44
lncrna_rsid2518.bed	27	36
lncrna_rsid2519.bed	16	18
lncrna_rsid2520.bed	26	35
lncrna_rsid2521.bed	15	23
lncrna_rsid2522.bed	29	42
lncrna_rsid2523.bed	24	38
lncrna_rsid2524.bed	14	16
lncrna_rsid2525.bed	19	23
lncrna_rsid2526.bed	14	22
lncrna_rsid2527.bed	22	27
lncrna_rsid2528.bed	19	31
lncrna_rsid2529.bed	19	21
lncrna_rsid2530.bed	23	34
lncrna_rsid2531.bed	17	21
lncrna_rsid2532.bed	17	24
lncrna_rsid2533.bed	24	35
lncrna_rsid2534.bed	15	18
lncrna_rsid2535.bed	19	28
lncrna_rsid2536.bed	12	13
lncrna_rsid2537.bed	9	20
lncrna_rsid2538.bed	18	24
lncrna_rsid2539.bed	31	49
lncrna_rsid2540.bed	25	34
lncrna_rsid2541.bed	23	46
lncrna_rsid2542.bed	15	23
lncrna_rsid2543.bed	15	22
lncrna_rsid2544.bed	15	22
lncrna_rsid2545.bed	18	20
lncrna_rsid2546.bed	23	24
lncrna_rsid2547.bed	19	27
lncrna_rsid2548.bed	15	19
lncrna_rsid2549.bed	17	23
lncrna_rsid2550.bed	28	64
lncrna_rsid2551.bed	31	42
lncrna_rsid2552.bed	19	26
lncrna_rsid2553.bed	17	20
lncrna_rsid2554.bed	20	24
lncrna_rsid2555.bed	21	25
lncrna_rsid2556.bed	23	26
lncrna_rsid2557.bed	20	22
lncrna_rsid2558.bed	22	30
lncrna_rsid2559.bed	26	38
lncrna_rsid2560.bed	22	31
lncrna_rsid2561.bed	17	32
lncrna_rsid2562.bed	20	27
lncrna_rsid2563.bed	21	31
lncrna_rsid2564.bed	17	23
lncrna_rsid2565.bed	13	13
lncrna_rsid2566.bed	22	29
lncrna_rsid2567.bed	21	33
lncrna_rsid2568.bed	19	24
lncrna_rsid2569.bed	20	26
lncrna_rsid2570.bed	17	21
lncrna_rsid2571.bed	20	29
lncrna_rsid2572.bed	29	41
lncrna_rsid2573.bed	18	29
lncrna_rsid2574.bed	22	27
lncrna_rsid2575.bed	20	26
lncrna_rsid2576.bed	20	25
lncrna_rsid2577.bed	21	32
lncrna_rsid2578.bed	29	36
lncrna_rsid2579.bed	27	39
lncrna_rsid2580.bed	21	23
lncrna_rsid2581.bed	25	34
lncrna_rsid2582.bed	13	14
lncrna_rsid2583.bed	25	39
lncrna_rsid2584.bed	16	35
lncrna_rsid2585.bed	21	24
lncrna_rsid2586.bed	16	26
lncrna_rsid2587.bed	18	20
lncrna_rsid2588.bed	23	27
lncrna_rsid2589.bed	17	21
lncrna_rsid2590.bed	30	54
lncrna_rsid2591.bed	25	27
lncrna_rsid2592.bed	17	27
lncrna_rsid2593.bed	15	18
lncrna_rsid2594.bed	20	22
lncrna_rsid2595.bed	18	24
lncrna_rsid2596.bed	14	17
lncrna_rsid2597.bed	21	27
lncrna_rsid2598.bed	20	24
lncrna_rsid2599.bed	18	23
lncrna_rsid2600.bed	13	19
lncrna_rsid2601.bed	11	35
lncrna_rsid2602.bed	25	41
lncrna_rsid2603.bed	19	21
lncrna_rsid2604.bed	19	32
lncrna_rsid2605.bed	16	25
lncrna_rsid2606.bed	29	37
lncrna_rsid2607.bed	24	34
lncrna_rsid2608.bed	23	27
lncrna_rsid2609.bed	13	14
lncrna_rsid2610.bed	16	20
lncrna_rsid2611.bed	24	31
lncrna_rsid2612.bed	21	26
lncrna_rsid2613.bed	21	38
lncrna_rsid2614.bed	26	36
lncrna_rsid2615.bed	17	18
lncrna_rsid2616.bed	23	32
lncrna_rsid2617.bed	18	20
lncrna_rsid2618.bed	26	34
lncrna_rsid2619.bed	15	26
lncrna_rsid2620.bed	21	35
lncrna_rsid2621.bed	17	24
lncrna_rsid2622.bed	12	17
lncrna_rsid2623.bed	26	54
lncrna_rsid2624.bed	25	42
lncrna_rsid2625.bed	20	33
lncrna_rsid2626.bed	18	31
lncrna_rsid2627.bed	19	22
lncrna_rsid2628.bed	24	40
lncrna_rsid2629.bed	19	29
lncrna_rsid2630.bed	20	21
lncrna_rsid2631.bed	13	14
lncrna_rsid2632.bed	25	33
lncrna_rsid2633.bed	20	29
lncrna_rsid2634.bed	20	22
lncrna_rsid2635.bed	21	28
lncrna_rsid2636.bed	21	26
lncrna_rsid2637.bed	17	26
lncrna_rsid2638.bed	21	24
lncrna_rsid2639.bed	23	30
lncrna_rsid2640.bed	19	23
lncrna_rsid2641.bed	25	44
lncrna_rsid2642.bed	22	27
lncrna_rsid2643.bed	22	29
lncrna_rsid2644.bed	16	19
lncrna_rsid2645.bed	18	19
