random	SNP_n	lncRNA_n
lncrna_rsid219.bed	18	25
lncrna_rsid220.bed	20	28
lncrna_rsid221.bed	24	32
lncrna_rsid222.bed	23	39
lncrna_rsid223.bed	21	25
lncrna_rsid224.bed	20	34
lncrna_rsid225.bed	15	19
lncrna_rsid226.bed	21	24
lncrna_rsid227.bed	26	39
lncrna_rsid228.bed	19	24
lncrna_rsid229.bed	21	36
lncrna_rsid230.bed	24	31
lncrna_rsid231.bed	14	21
lncrna_rsid232.bed	25	30
lncrna_rsid233.bed	13	13
lncrna_rsid234.bed	23	29
lncrna_rsid235.bed	22	31
lncrna_rsid236.bed	26	43
lncrna_rsid237.bed	18	21
lncrna_rsid238.bed	24	27
lncrna_rsid239.bed	25	32
lncrna_rsid240.bed	25	31
lncrna_rsid241.bed	30	37
lncrna_rsid242.bed	20	47
lncrna_rsid243.bed	19	26
lncrna_rsid244.bed	22	24
lncrna_rsid245.bed	28	39
lncrna_rsid246.bed	17	26
lncrna_rsid247.bed	20	23
lncrna_rsid248.bed	14	15
lncrna_rsid249.bed	21	30
lncrna_rsid250.bed	24	30
lncrna_rsid251.bed	19	26
lncrna_rsid252.bed	22	30
lncrna_rsid253.bed	30	37
lncrna_rsid254.bed	29	57
lncrna_rsid255.bed	21	28
lncrna_rsid256.bed	17	22
lncrna_rsid257.bed	19	27
lncrna_rsid258.bed	11	16
lncrna_rsid259.bed	24	25
lncrna_rsid260.bed	19	24
lncrna_rsid261.bed	11	17
lncrna_rsid262.bed	23	33
lncrna_rsid263.bed	21	28
lncrna_rsid264.bed	19	26
lncrna_rsid265.bed	21	23
lncrna_rsid266.bed	14	14
lncrna_rsid267.bed	19	29
lncrna_rsid268.bed	20	23
lncrna_rsid269.bed	25	29
lncrna_rsid270.bed	22	32
lncrna_rsid271.bed	22	26
lncrna_rsid272.bed	18	19
lncrna_rsid273.bed	23	27
lncrna_rsid274.bed	23	29
lncrna_rsid275.bed	27	32
lncrna_rsid276.bed	25	39
lncrna_rsid277.bed	22	26
lncrna_rsid278.bed	17	26
lncrna_rsid279.bed	13	20
lncrna_rsid280.bed	17	34
lncrna_rsid281.bed	18	20
lncrna_rsid282.bed	19	28
lncrna_rsid283.bed	26	43
lncrna_rsid284.bed	15	19
lncrna_rsid285.bed	23	27
lncrna_rsid286.bed	10	13
lncrna_rsid287.bed	20	26
lncrna_rsid288.bed	26	34
lncrna_rsid289.bed	20	24
lncrna_rsid290.bed	22	30
lncrna_rsid291.bed	15	23
lncrna_rsid292.bed	20	33
lncrna_rsid293.bed	27	34
lncrna_rsid294.bed	25	41
lncrna_rsid295.bed	19	33
lncrna_rsid296.bed	21	36
lncrna_rsid297.bed	18	29
lncrna_rsid298.bed	24	32
lncrna_rsid299.bed	23	30
lncrna_rsid300.bed	10	12
lncrna_rsid301.bed	16	23
lncrna_rsid302.bed	25	34
lncrna_rsid303.bed	18	27
lncrna_rsid304.bed	19	23
lncrna_rsid305.bed	28	34
lncrna_rsid306.bed	22	24
lncrna_rsid307.bed	19	25
lncrna_rsid308.bed	30	37
lncrna_rsid309.bed	18	25
lncrna_rsid310.bed	22	33
lncrna_rsid311.bed	33	48
lncrna_rsid312.bed	21	32
lncrna_rsid313.bed	14	18
lncrna_rsid314.bed	22	22
lncrna_rsid315.bed	18	27
lncrna_rsid316.bed	21	29
lncrna_rsid317.bed	15	21
lncrna_rsid318.bed	21	30
lncrna_rsid319.bed	16	20
lncrna_rsid320.bed	23	26
lncrna_rsid321.bed	23	28
lncrna_rsid322.bed	19	25
lncrna_rsid323.bed	24	30
lncrna_rsid324.bed	18	34
lncrna_rsid325.bed	19	22
lncrna_rsid326.bed	23	27
lncrna_rsid327.bed	15	15
lncrna_rsid328.bed	23	34
lncrna_rsid329.bed	24	39
lncrna_rsid330.bed	27	44
lncrna_rsid331.bed	23	24
lncrna_rsid332.bed	17	20
lncrna_rsid333.bed	17	19
lncrna_rsid334.bed	30	44
lncrna_rsid335.bed	23	27
lncrna_rsid336.bed	19	25
lncrna_rsid337.bed	19	29
lncrna_rsid338.bed	25	29
lncrna_rsid339.bed	19	39
lncrna_rsid340.bed	19	24
lncrna_rsid341.bed	28	54
lncrna_rsid342.bed	20	24
lncrna_rsid343.bed	19	28
lncrna_rsid344.bed	31	42
lncrna_rsid345.bed	15	17
lncrna_rsid346.bed	24	40
lncrna_rsid347.bed	21	33
lncrna_rsid348.bed	25	29
lncrna_rsid349.bed	21	22
lncrna_rsid350.bed	20	29
lncrna_rsid351.bed	13	26
lncrna_rsid352.bed	17	21
lncrna_rsid353.bed	23	36
lncrna_rsid354.bed	14	18
lncrna_rsid355.bed	19	33
