random	SNP_n	Enh_n
roadmap_rsid462.tsv	454	454
roadmap_rsid463.tsv	465	462
roadmap_rsid464.tsv	446	446
roadmap_rsid465.tsv	464	463
roadmap_rsid466.tsv	438	437
roadmap_rsid467.tsv	414	414
roadmap_rsid468.tsv	460	459
roadmap_rsid469.tsv	411	410
roadmap_rsid470.tsv	448	447
roadmap_rsid471.tsv	427	426
roadmap_rsid472.tsv	479	478
roadmap_rsid473.tsv	414	414
roadmap_rsid474.tsv	430	430
roadmap_rsid475.tsv	471	470
roadmap_rsid476.tsv	451	451
roadmap_rsid477.tsv	435	434
roadmap_rsid478.tsv	454	454
roadmap_rsid479.tsv	415	414
roadmap_rsid480.tsv	392	391
roadmap_rsid481.tsv	435	434
roadmap_rsid482.tsv	460	460
roadmap_rsid483.tsv	418	418
roadmap_rsid484.tsv	466	464
roadmap_rsid485.tsv	438	438
roadmap_rsid486.tsv	429	427
roadmap_rsid487.tsv	424	424
roadmap_rsid488.tsv	435	435
roadmap_rsid489.tsv	410	410
roadmap_rsid490.tsv	424	424
roadmap_rsid491.tsv	431	431
roadmap_rsid492.tsv	439	437
roadmap_rsid493.tsv	444	444
roadmap_rsid494.tsv	391	389
roadmap_rsid495.tsv	456	455
roadmap_rsid496.tsv	470	469
roadmap_rsid497.tsv	464	461
roadmap_rsid498.tsv	422	422
roadmap_rsid499.tsv	438	438
roadmap_rsid500.tsv	412	412
roadmap_rsid501.tsv	411	411
roadmap_rsid502.tsv	417	415
roadmap_rsid503.tsv	426	425
roadmap_rsid504.tsv	445	445
roadmap_rsid505.tsv	471	470
roadmap_rsid506.tsv	407	407
roadmap_rsid507.tsv	421	420
roadmap_rsid508.tsv	446	446
roadmap_rsid509.tsv	424	424
roadmap_rsid510.tsv	439	439
roadmap_rsid511.tsv	412	411
roadmap_rsid512.tsv	447	447
roadmap_rsid513.tsv	443	443
roadmap_rsid514.tsv	414	414
roadmap_rsid515.tsv	435	434
roadmap_rsid516.tsv	455	454
roadmap_rsid517.tsv	441	441
